qid,bm_loc,dn_loc,ans_loc,un_loc,pool_loc,bm_n,dn_n
UEkW778tqIUUJqO9,0.06666666666666667,0.02666666666666667,0.4,0.03460207612456748,47,20,8
I08oOoFTjC07Vrta,0.02666666666666667,0.016666666666666666,0.26,0.02526315789473684,849,8,5
3LiXTg1eVTc2le1B,0.14,0.09666666666666666,0.96,0.10275229357798166,12145,42,29
h1QCtDc5jh47g39c,0.0,0.0,0.0,0.0,0,0,0
JngF5olRZTJiI3CU,0.18,0.13,1.0,0.14629629629629629,19543,54,39
1GHH8ZCIbHuATKtf,0.18666666666666668,0.2733333333333333,0.94,0.20930232558139536,19543,56,82
1QwVJVMILy787lkp,0.04,0.03,0.38,0.037109375,3070,12,9
ZWKtxHh26j2fWhD0,0.0,0.0,0.0,0.0,0,0,0
gBq5NvlLkDWXfdFs,0.056666666666666664,0.12333333333333334,0.84,0.08333333333333333,4494,17,37
KKnfJy7qjAImf0jW,0.006666666666666667,0.006666666666666667,0.06,0.005836575875486381,585,2,2
c8MzkMLcFaZAzimc,0.08,0.05,0.46,0.0616822429906542,12145,24,15
bTF8nFanljgh7MYg,0.0,0.0,0.0,0.0,0,0,0
50DZQBIXj0yEIqZP,0.05333333333333334,0.02666666666666667,0.34,0.03483606557377049,1133,16,8
9iUBpipDGN5CaIqZ,0.3933333333333333,0.4033333333333333,1.0,0.3813953488372093,12145,118,121
no5QcEFwHNu79q7v,0.05,0.04,0.42,0.03793103448275862,1927,15,12
lVj2BChflKzgzpGQ,0.016666666666666666,0.023333333333333334,0.18,0.01692047377326565,1177,5,7
qjSrURAd9FdHwGdm,0.016666666666666666,0.03333333333333333,0.2,0.02119460500963391,869,5,10
mikHI6CNWMPU8RGN,0.0,0.0,0.0,0.0,0,0,0
Y9sdO7l8HOXFPida,0.26666666666666666,0.35333333333333333,1.0,0.30825688073394497,2326,80,106
HcKi8OfhdLQ9ZNaF,0.006666666666666667,0.013333333333333334,0.12,0.01001669449081803,303,2,4
x32qozicU41tpJ1Z,0.04666666666666667,0.013333333333333334,0.3,0.029876977152899824,2326,14,4
mSXLbxWIz9k3k4C4,0.04,0.03333333333333333,0.34,0.033268101761252444,2726,12,10
4sAOSzUFwpJNTl8I,0.02666666666666667,0.03,0.32,0.03125,2575,8,9
fzczXnNAoYKrJrCJ,0.0033333333333333335,0.013333333333333334,0.1,0.008944543828264758,1092,1,4
5Qx2PwAnX3auv2EC,0.18666666666666668,0.13,0.96,0.16087751371115175,19543,56,39
jKQFdTfIAHvrakrN,0.07333333333333333,0.06,0.5,0.06277056277056277,3070,22,18
BZjqbcWMsXMhtm7t,0.01,0.03666666666666667,0.26,0.026262626262626262,870,3,11
4PLL3VlDpfHSo2nY,0.043333333333333335,0.03666666666666667,0.32,0.04065040650406504,882,13,11
2mw4lWxfm6e2QfAf,0.06,0.05,0.38,0.045662100456621,1638,18,15
s5AKQKsaJxr3dm0b,0.03,0.02,0.22,0.022988505747126436,1770,9,6
UGUJm1tqrqrQGcsE,0.04666666666666667,0.03666666666666667,0.38,0.04020979020979021,3027,14,11
N6gkzIlmBwUayynj,0.11333333333333333,0.12666666666666668,1.0,0.11278195488721804,19543,34,38
vri0MxSsM58W7tvu,0.17,0.14,0.96,0.1493975903614458,12145,51,42
z0sqdR4dSU3WLHcP,0.13,0.16666666666666666,0.94,0.1536926147704591,19543,39,50
bhLAKzpNR2oDfix0,0.0,0.0,0.0,0.0,0,0,0
8GyLBhZOpVK1oHoc,0.15666666666666668,0.17333333333333334,0.98,0.14531548757170173,12145,47,52
vVsNRyPU9Jus2tEX,0.0,0.0,0.0,0.0,0,0,0
CJZdcABkv2XMedeX,0.08,0.1,0.88,0.09090909090909091,12145,24,30
NjN1ejLAO1syg4cX,0.06333333333333334,0.07666666666666666,0.5,0.06142506142506143,3027,19,23
h1ijqMczH05uRllT,0.25333333333333335,0.14333333333333334,1.0,0.14963503649635038,296,76,43
SoC1KayKn5VUYMKZ,0.03666666666666667,0.05,0.4,0.04132231404958678,2193,11,15
NzAmgFxShqTzRhAY,0.08,0.09,0.72,0.07240704500978473,4494,24,27
FgZgS2s9kJY9xUhW,0.07,0.05333333333333334,0.52,0.04961832061068702,2726,21,16
AG2z5zlF6uFFqRQg,0.03,0.05,0.34,0.036734693877551024,1638,9,15
8VXxY0rsZoENZ0s7,0.15,0.12,1.0,0.12910284463894967,19543,45,36
D7XZwOQKmTIpnbLw,0.0033333333333333335,0.04666666666666667,0.26,0.023809523809523808,2575,1,14
JAp9WWrNPksWTSwt,0.02666666666666667,0.01,0.2,0.02022058823529412,476,8,3
moeU4xtRvMy8iQGB,0.11,0.09333333333333334,0.9,0.09465020576131687,12145,33,28
lL41jZkxBGxkLh3H,0.14666666666666667,0.12333333333333334,0.94,0.133086876155268,19543,44,37
bfE9cv0i1Vs8UstM,0.023333333333333334,0.0,0.12,0.01174496644295302,670,7,0
VCduJE2drWP7ngkk,0.03,0.043333333333333335,0.32,0.037825059101654845,3027,9,13
Pv4EbolMnFU03mWd,0.03,0.023333333333333334,0.22,0.024017467248908297,3178,9,7
l9S3YLmISBxKQ811,0.0,0.0,0.0,0.0,0,0,0
5nuJeLptyypb8xTz,0.09666666666666666,0.10666666666666667,0.92,0.09655172413793103,19543,29,32
aFUdNBsaWC7tsZj0,0.01,0.006666666666666667,0.1,0.009505703422053232,2193,3,2
iPBIyawxZqjnQqUF,0.09,0.07666666666666666,0.58,0.07096774193548387,3070,27,23
sTag69tusX04By3m,0.07333333333333333,0.05,0.52,0.051188299817184646,3070,22,15
TQ3t5RRQxWzJW5cT,0.01,0.043333333333333335,0.26,0.026022304832713755,899,3,13
edGmwNo2zDyQKCi6,0.07666666666666666,0.07,0.5,0.052521008403361345,1583,23,21
CjJ8XmNiKqDqMvCl,0.19,0.25,1.0,0.2,19543,57,75
rmFv6v6etyw0DXJa,0.45666666666666667,0.2,1.0,0.2994652406417112,1927,137,60
e7PZRUKXIqCJAWZX,0.11,0.07,0.8,0.08492569002123142,4494,33,21
TyY2GTopOHMRObmh,0.11,0.11,0.86,0.11026615969581749,19543,33,33
ryjRd8gKb0Z41tKq,0.03,0.01,0.2,0.01926444833625219,1177,9,3
wYuWuZPsARqwv3jt,0.03333333333333333,0.023333333333333334,0.24,0.02727272727272727,1927,10,7
FfczgBnxPiI0YGag,0.14,0.06333333333333334,0.9,0.09725158562367865,19543,42,19
V2d0ZKdZJ2xhIhcx,0.12666666666666668,0.12,1.0,0.103515625,19543,38,36
mWnVqsfw8Ml7DIJg,0.14333333333333334,0.04,0.8,0.08711433756805807,12145,43,12
UIw1MgyJLd8S1moU,0.04,0.06333333333333334,0.44,0.04204753199268738,3659,12,19
MiS5dDGrU6eVhhQw,0.04666666666666667,0.04,0.32,0.029038112522686024,1583,14,12
oT6W61xokB5t5okz,0.016666666666666666,0.016666666666666666,0.16,0.015810276679841896,599,5,5
9RnnlAhXjwdHSnew,0.043333333333333335,0.03333333333333333,0.34,0.0338680926916221,3659,13,10
xuBsDKTX8zSObCFe,0.03666666666666667,0.006666666666666667,0.24,0.023297491039426525,3659,11,2
2Njmse8NP0Y4VwPM,0.05333333333333334,0.03666666666666667,0.36,0.036511156186612576,1638,16,11
erBzDNazxEaEYLWe,0.21666666666666667,0.15,0.98,0.18201754385964913,19543,65,45
kxQrvp6Q4lbcgeGK,0.08666666666666667,0.12666666666666668,0.92,0.0995850622406639,12145,26,38
1RsyqSze4QG2bzFQ,0.02666666666666667,0.02666666666666667,0.26,0.029612756264236904,1133,8,8
lkI1TrBRV0F5HAA3,0.09666666666666666,0.06,0.62,0.06868686868686869,2575,29,18
E7Ypyg79mxKYrYPi,0.06333333333333334,0.03666666666666667,0.38,0.048582995951417005,19543,19,11
m6HSvVinm1CRQCim,0.023333333333333334,0.02666666666666667,0.2,0.02207505518763797,344,7,8
1IEgYc8XWbgBAFT3,0.02666666666666667,0.02666666666666667,0.22,0.02119460500963391,903,8,8
lnKZrBHkpXgyjb1U,0.0,0.0,0.0,0.0,0,0,0
FyEsvgRIXQLjnMN9,0.01,0.006666666666666667,0.06,0.0055147058823529415,1157,3,2
kbc5RHrifEsvlBa5,0.0033333333333333335,0.0033333333333333335,0.04,0.0037243947858473,540,1,1
JC0Hit2IRJlZxisF,0.24333333333333335,0.22,1.0,0.24390243902439024,19543,73,66
nY3yIj7dniODNOyE,0.15,0.21666666666666667,1.0,0.17689530685920576,19543,45,65
ZhidysoEMf4rdZpH,0.16666666666666666,0.1,1.0,0.11842105263157894,12145,50,30
oXOrNFR2EhYMjj5u,0.01,0.023333333333333334,0.16,0.017167381974248927,1177,3,7
pH0VioHYn8fMkoNL,0.0,0.0,0.0,0.0,0,0,0
SVFfhQTJ5W0IOJtK,0.0,0.0,0.0,0.0,0,0,0
ealwE8tw8ZAbaOU4,0.016666666666666666,0.02666666666666667,0.18,0.01768172888015717,870,5,8
cLEo318Z3t4yZOBI,0.043333333333333335,0.016666666666666666,0.26,0.02491103202846975,3070,13,5
PQf7FpY497jsFJVX,0.0,0.0,0.0,0.0,0,0,0
AC7ZdvjWmpjq8C1U,0.03666666666666667,0.05333333333333334,0.3,0.045112781954887216,19543,11,16
a9xiulkLGauE6fvN,0.013333333333333334,0.023333333333333334,0.14,0.017892644135188866,1284,4,7
AxeSd95n6EnRZb0d,0.02,0.006666666666666667,0.12,0.01348314606741573,902,6,2
4VE4KPjqjiv4ERub,0.04,0.016666666666666666,0.28,0.027196652719665274,816,12,5
cgv14BzV0kdgWFBQ,0.10333333333333333,0.14,0.86,0.12056737588652482,12145,31,42
EC1ME689zFyqGMDA,0.29333333333333333,0.2633333333333333,1.0,0.2563451776649746,12145,88,79
F68tCBeu272KpINg,0.10666666666666667,0.12666666666666668,0.96,0.1036468330134357,12145,32,38
XdZzPwlDXPk8XhOs,0.0,0.0,0.0,0.0,0,0,0
e6pMp02hOoBiIYYL,0.0,0.0,0.0,0.0,0,0,0
AqVaj5drnrrB257A,0.02666666666666667,0.016666666666666666,0.14,0.015238095238095238,869,8,5
gkumOW44h0obdq0Z,0.0,0.0,0.0,0.0,0,0,0
bFoGOA7dVOHKQWnh,0.016666666666666666,0.013333333333333334,0.18,0.017716535433070866,85,5,4
Y4In9PXIkUbuzPJk,0.15333333333333332,0.19,1.0,0.15306122448979592,19543,46,57
EtCH5tXLMM3PNp1t,0.03,0.023333333333333334,0.26,0.0260707635009311,1646,9,7
94UtW5eRuV3rcDEO,0.02666666666666667,0.02666666666666667,0.2,0.02386117136659436,77,8,8
5qoo2oFaq1Mb9Jab,0.14333333333333334,0.08,0.86,0.1054481546572935,1646,43,24
96CfxbftGCN1WdNL,0.11666666666666667,0.16666666666666666,1.0,0.14150943396226415,12145,35,50
fPMKxRbaXvPTrPvZ,0.0033333333333333335,0.0033333333333333335,0.04,0.00390625,84,1,1
2UO1eJVYIg7siTTU,0.11666666666666667,0.13333333333333333,0.96,0.1014760147601476,12145,35,40
xpGviuzBrYxOL7bK,0.0033333333333333335,0.0,0.02,0.002207505518763797,64,1,0
1MqJXe0nH4uCwN3E,0.05333333333333334,0.08333333333333333,0.56,0.058823529411764705,1638,16,25
